"year","port","county","kgs","purchase_total"
"2019","Halifax","Halifax","340766.20","5198304"
"2019","Indian Harbour","Halifax",,
"2019","Ketch Harbour","Halifax",,
"2019","Little Harbour","Halifax",,
"2019","Ostrea Lake","Halifax",,
"2019","Owls Head","Halifax",,
"2019","Peggys Cove","Halifax",,
"2019","Pleasant Point","Halifax",,
"2019","Prospect","Halifax",,
"2019","Sambro","Halifax","2346503","18950626"
"2019","Shad Bay","Halifax",,
"2019","Sober Island","Halifax",,
"2019","Terence Bay","Halifax",,
"2019","Three Fathom Harbour","Halifax",,
"2019","West Chezzetcook","Halifax",,
"2019","West Dover","Halifax",,
"2019","Other","Halifax","2718293","24088597"
"2019","Total for Halifax County","Halifax","9744271.02","82189021"
"2019","Other","Hants",,
"2019","Total for Hants County","Hants","96.79","764"
"2019","Cheticamp","Inverness","2777342","34191194"
"2019","Cheticamp Point","Inverness",,
"2019","Cheticamp - Town Wharf","Inverness",,
"2019","Finlay Point","Inverness",,
"2019","Grand Etang","Inverness","211460.10","2995196"
"2019","Inverness","Inverness","318000.20","4293429"
"2019","Judique","Inverness",,
"2019","Little Judique Harbour","Inverness",,
"2019","Little Judique Ponds","Inverness",,
"2019","Mabou Harbour","Inverness","86405.61","1162116"
"2019","Marble Mountain","Inverness",,
"2019","Margaree Harbour","Inverness","336909.10","4690150"
"2019","Meat Cove","Inverness",,
"2019","Murphys Pond","Inverness","497591.30","4249755"
"2019","Pleasant Bay","Inverness",,
"2019","Port Hood","Inverness","22078.59","341039"
"2019","Port Hood Island","Inverness",,
"2019","Other","Inverness","1266106","13711133"
"2019","Total for Inverness County","Inverness","6528946.66","79105699"
"2019","Halls Harbour","Kings",,
"2019","Harbourville","Kings","98616.89","1896503"
"2019","Kingsport","Kings",,
"2019","Pereaux","Kings",,
"2019","Scots Bay","Kings",,
"2019","Other","Kings","183493.30","767365"
"2019","Total for Kings County","Kings","352720.10","3671567"
"2019","Aspotogan","Lunenburg",,
"2019","Black Harbour","Lunenburg",,
"2019","Bayport","Lunenburg",,
"2019","Big Tancook Island","Lunenburg",,
"2019","Blandford","Lunenburg",,
"2019","Bush Island","Lunenburg",,
"2019","Chester Basin","Lunenburg",,
"2019","Feltzen South","Lunenburg",,
"2019","Fox Point","Lunenburg",,
"2019","Kings Bay","Lunenburg",,
"2019","Kraut Point","Lunenburg",,
"2019","Little Harbour","Lunenburg",,
"2019","Lunenburg (Battery Point)","Lunenburg",,
"2019","Lunenburg (Fishermens Wharf)","Lunenburg","80814.22","1552020"
"2019","Lunenburg (Railway Wharf)","Lunenburg",,
"2019","Mahone Bay","Lunenburg",,
"2019","Mill Cove","Lunenburg",,
"2019","Northwest Cove","Lunenburg",,
"2019","Riverport","Lunenburg",,
"2019","Saw Pit","Lunenburg",,
"2019","Voglers Cove West","Lunenburg","430968.20","7930083"
"2019","Western Shore","Lunenburg",,
"2019","Other","Lunenburg","755599.30","16759131"
"2019","Total for Lunenburg County","Lunenburg","2378058.91","35294899"
"2019","Baileys Brook","Pictou","158526.80","1838537"
"2019","Big Island","Pictou",,
"2019","Cape John","Pictou","130899.80","1850996"
"2019","Caribou","Pictou","4761040","18225943"
"2019","Caribou Ferry","Pictou","915119.60","2569907"
"2019","Chance Harbour","Pictou",,
"2019","Little Harbour","Pictou",,
"2019","Merigomish","Pictou",,
"2019","Pictou Island","Pictou",,
"2019","Pictou Landing","Pictou","169923.30","2145374"
"2019","Skinners Cove","Pictou",,
"2019","Toney River","Pictou",,
"2019","Other","Pictou",,
"2019","Total for Pictou County","Pictou","6967160.57","37758466"
"2019","Brooklyn Fisherman's Wharf","Queens","48129.28","915479"
"2019","East Side Port L'Hebert","Queens","685084.70","4222551"
"2019","Hunts Point","Queens",,
"2019","Moose Harbour","Queens",,
"2019","Port Medway","Queens","557852.60","24492830"
"2019","Port Mouton","Queens","5949915","19256682"
"2019","South West Port Mouton","Queens",,
"2019","St. Catherines River","Queens",,
"2019","Volgers Cove","Queens",,
"2019","West Berlin","Queens",,
"2019","Other","Queens","2071399","9846658"
"2019","Total for Queens County","Queens","9592076.33","63996194"
"2019","Arichat","Richmond","1959122","21873878"
"2019","Arrow Point","Richmond",,
"2019","Chapel Cove","Richmond",,
"2019","D'escousse","Richmond",,
"2019","Fourchu","Richmond",,
"2019","Janvrin Harbour","Richmond",,
"2019","L'Archeveque","Richmond",,
"2019","Little Harbour","Richmond","1912586","26987789"
"2019","Poirierville","Richmond",,
"2019","River Bourgeois","Richmond",,
"2019","Other","Richmond",,
"2019","Total for Richmond County","Richmond","6205351.13","81623580"
"2019","Allendale","Shelburne",,
"2019","Bear Point","Shelburne","598246.10","5002854"
"2019","Cape Negro","Shelburne",,
"2019","Clark's Harbour","Shelburne","2081682","35640109"
"2019","Cripple Creek","Shelburne","269163.80","5142674"
"2019","Forbes Point","Shelburne","244636.40","3723426"
"2019","Gunning Cove","Shelburne","1262171","10419040"
"2019","Ingomar","Shelburne","3537795","21452723"
"2019","Jones Harbour","Shelburne","127787.80","2391917"
"2019","Little Harbour","Shelburne","436161.40","2641695"
"2019","Lockeport","Shelburne","968007.80","15704268"
"2019","Lower Jordan Bay","Shelburne","650137.90","3610093"
"2019","Lower Sandy Point","Shelburne","432499.80","7826034"
"2019","Lower Woods Harbour","Shelburne","5141924","10706759"
"2019","Lower Woods Harbour (Falls Point)","Shelburne","1665997","27701334"
"2019","Lower Woods Harbour (Forbes Point)","Shelburne",,
"2019","Newellton","Shelburne","915385","17114033"
"2019","Port La Tour","Shelburne","1644471","12541940"
"2019","Seal Point","Shelburne","142531.80","2707567"
"2019","Shag Harbour","Shelburne","2072332","10531596"
"2019","Shag Harbour (Prospect Point)","Shelburne",,
"2019","Shelburne","Shelburne","1962194","2024463"
"2019","South Side","Shelburne","348374.20","6104006"
"2019","Stoney Island","Shelburne","366149.90","7000730"
"2019","Swims Point","Shelburne","1403275","3345178"
"2019","Uper Port La Tour","Shelburne","122512.50","2278626"
"2019","West Green Harbour","Shelburne",,
"2019","West Head","Shelburne","2234002","21999395"
"2019","Other","Shelburne","1143267","10437105"
"2019","Total for Shelburne County","Shelburne","29914331.13","249855662"
"2019","Bay St. Lawrence","Victoria","844881.70","10110678"
"2019","Big Bras D'or","Victoria",,
"2019","Dingwall","Victoria","294185.20","3977726"
"2019","Englishtown","Victoria",,
"2019","Ingonish","Victoria",,
"2019","Ingonish Beach","Victoria",,
"2019","Ingonish Ferry","Victoria","110907","1621659"
"2019","Iona","Victoria",,
"2019","Little River","Victoria","156104.60","2305598"
"2019","Neils Harbour","Victoria",,
"2019","New Campbellton","Victoria",,
"2019","New Haven","Victoria",,
"2019","Nyanza","Victoria",,
"2019","Smelt Book","Victoria",,
"2019","White Point","Victoria",,
"2019","Wreck Cove","Victoria",,
"2019","Other","Victoria",,
"2019","Total for Victoria County","Victoria","2566865.62","34860840"
"2019","Abbotts Harbour","Yarmouth","806300.10","7691760"
"2019","Abrams River","Yarmouth",,
"2019","Camp Cove","Yarmouth","1851680","27498357"
"2019","Chebogue","Yarmouth","549714.50","1374480"
"2019","Chegoggin","Yarmouth","6602.48","38148"
"2019","Chegoggin Point","Yarmouth",,
"2019","Dennis Point","Yarmouth","21883934","72251912"
"2019","Glenwood","Yarmouth",,
"2019","Hubbards Point","Yarmouth",,
"2019","Ledge Harbour","Yarmouth",,
"2019","Little River Harbour","Yarmouth","1366314","13425622"
"2019","Lower East Pubnico","Yarmouth","8251079","41160058"
"2019","Lower Wedgeport Tuna Wharf","Yarmouth","4035537","2691480"
"2019","Morris Island","Yarmouth","561893.40","1017650"
"2019","Pinkneys Point","Yarmouth","1850743","12644772"
"2019","Plymouth","Yarmouth",,
"2019","Port Maitland","Yarmouth","152277.20","2839029"
"2019","Rocco Point","Yarmouth","461339.80","76640"
"2019","Sandford","Yarmouth","392282.20","6932957"
"2019","Sluice Point","Yarmouth",,
"2019","Surettes Island","Yarmouth",,
"2019","Wedge Point","Yarmouth","3588023","16778448"
"2019","Yarmouth Bar","Yarmouth","3373811","33041311"
"2019","Other","Yarmouth","7307498","12353097"
"2019","Total for Yarmouth County","Yarmouth","60221297.27","261212767"
"2020","Anderson Cove","Annapolis",,
"2020","Battery Point","Annapolis",,
"2020","Delaps Cove","Annapolis",,
"2020","Hampton","Annapolis",,
"2020","Margaretsville","Annapolis",,
"2020","Parkers Cove","Annapolis",,
"2020","Port Lorne","Annapolis",,
"2020","Other","Annapolis","12262.40","197254.69"
"2020","Total for Annapolis County","Annapolis","414697.44","7164909.22"
"2020","Arisaig","Antigonish",,
"2020","Aulds Cove","Antigonish",,
"2020","Ballantynes Cove","Antigonish","197058.52","1486982.93"
"2020","Barrios Beach","Antigonish",,
"2020","Bayfield","Antigonish",,
"2020","Cribbons Point","Antigonish",,
"2020","Havre Boucher","Antigonish",,
"2020","Livingstone","Antigonish",,
"2020","Other","Antigonish",,
"2020","Total for Antigonish County","Antigonish","1105221.37","10012769.36"
"2020","Alder Point","Cape Breton","500694","5051182.40"
"2020","Crane Cove","Cape Breton",,
"2020","Gabarus","Cape Breton",,
"2020","Glace Bay","Cape Breton","4736818.15","18711616.89"
"2020","Lingan","Cape Breton",,
"2020","Louisbourg","Cape Breton","1957429.10","14031631.27"
"2020","Main-A-Dieu","Cape Breton",,
"2020","Marion Bridge","Cape Breton",,
"2020","New Waterford","Cape Breton",,
"2020","North Sydney - Ballast Grounds","Cape Breton","461966.12","4733282.02"
"2020","North Sydney - Marina Breakwater","Cape Breton",,
"2020","Oyster Creek","Cape Breton",,
"2020","Point Aconi","Cape Breton",,
"2020","Port Morien","Cape Breton",,
"2020","South Bar","Cape Breton",,
"2020","Three Stick Cove","Cape Breton",,
"2020","Victoria Bridge","Cape Breton",,
"2020","Other","Cape Breton","298824.04","2858786.25"
"2020","Total for Cape Breton County","Cape Breton","9722930.40","63483615.93"
"2020","Barrachois","Colchester",,
"2020","Five Islands","Colchester",,
"2020","Other","Colchester",,
"2020","Total for Colchester County","Colchester","155110.32","480303.77"
"2020","Advocate Harbour","Cumberland",,
"2020","Apple River","Cumberland",,
"2020","Malagash","Cumberland",,
"2020","Northport","Cumberland",,
"2020","Pugwash","Cumberland","275709.55","2125817.53"
"2020","Wallace","Cumberland","283532.19","2186404.01"
"2020","Other","Cumberland",,
"2020","Total for Cumberland County","Cumberland","678576.37","7193268.32"
"2020","Cape St. Marys","Digby","221723.04","3559111.20"
"2020","Centerville","Digby","50910.27","880314.81"
"2020","Culloden","Digby",,
"2020","Digby","Digby","4509062.44","53040785.52"
"2020","East Ferry","Digby",,
"2020","Freeport (Fish Point Wharf)","Digby",,
"2020","Freeport  (South Cove)","Digby","133002.25","2282489.85"
"2020","Gilberts Cove","Digby",,
"2020","Little River","Digby","797452.37","7678897.31"
"2020","Meteghan","Digby","3143637.88","16942236.37"
"2020","Meteghan River","Digby",,
"2020","Rossway","Digby",,
"2020","Sandy Cove East","Digby","135056.56","2360603.89"
"2020","Saulnierville","Digby","132999.98","2042391.07"
"2020","Tiverton","Digby",,
"2020","Westport","Digby",,
"2020","Weymputh North","Digby",,
"2020","Whale Cove","Digby",,
"2020","Other","Digby",,
"2020","Total for Digby County","Digby","16007436.24","101740834.20"
"2020","Canso","Guysborough","3245507.92","16785263.10"
"2020","Charlos Cove","Guysborough",,
"2020","Cooks Cove","Guysborough",,
"2020","Dover","Guysborough",,
"2020","Drum Head","Guysborough",,
"2020","Ecum Secum","Guysborough",,
"2020","Fishermans Harbour","Guysborough",,
"2020","Goldboro","Guysborough",,
"2020","Half Island Cove","Guysborough",,
"2020","Larrys River","Guysborough",,
"2020","Little Harbour","Guysborough",,
"2020","Little Liscomb","Guysborough",,
"2020","Marie Joseph","Guysborough",,
"2020","New Harbour","Guysborough",,
"2020","Pirate Harbour","Guysborough",,
"2020","Port Brickerton East","Guysborough",,
"2020","Port Brickerton West","Guysborough",,
"2020","Port Felix","Guysborough",,
"2020","Queensport","Guysborough",,
"2020","Sonora","Guysborough",,
"2020","Upper Whitehead","Guysborough",,
"2020","Wine Harbour","Guysborough",,
"2020","Other","Guysborough","91430.79","1000835.80"
"2020","Total for Guysborough County","Guysborough","6876926.70","42387752.40"
"2020","Boutiliers Point","Halifax",,
"2020","Carters Point","Halifax",,
"2020","Coopers Point","Halifax",,
"2020","East Chezzetcook","Halifax",,
"2020","East Dover","Halifax",,
"2020","East Jeddor","Halifax",,
"2020","East Petpeswick","Halifax",,
"2020","Eastern Passage","Halifax","692891.56","4307750.09"
"2020","Ecum Secum West","Halifax",,
"2020","Factory Cove","Halifax",,
"2020","Gammons Creek","Halifax",,
"2020","Halifax","Halifax",,
"2020","Indian Harbour","Halifax",,
"2020","Ketch Harbour","Halifax",,
"2020","Little Harbour","Halifax",,
"2020","Ostrea Lake","Halifax",,
"2020","Owls Head","Halifax",,
"2020","Peggys Cove","Halifax",,
"2020","Pleasant Point","Halifax",,
"2020","Prospect","Halifax",,
"2020","Sambro","Halifax","3400625.99","25197084.45"
"2020","Shad Bay","Halifax",,
"2020","Sober Island","Halifax",,
"2020","Terence Bay","Halifax",,
"2020","Three Fathom Harbour","Halifax",,
"2020","West Chezzetcook","Halifax",,
"2020","West Dover","Halifax",,
"2020","Other","Halifax","3544639.07","7262296.17"
"2020","Total for Halifax County","Halifax","12476384.02","62419465.24"
"2020","Other","Hants",,
"2020","Total for Hants County","Hants",,
"2020","Cheticamp","Inverness",,
"2020","Cheticamp Point","Inverness",,
"2020","Cheticamp - Town Wharf","Inverness",,
"2020","Finlay Point","Inverness",,
"2020","Grand Etang","Inverness",,
"2020","Inverness","Inverness","277606.01","2554857.73"
"2020","Judique","Inverness",,
"2020","Little Judique Harbour","Inverness",,
"2020","Little Judique Ponds","Inverness",,
"2020","Mabou Harbour","Inverness",,
"2020","Marble Mountain","Inverness",,
"2020","Margaree Harbour","Inverness","361073.29","3345928.24"
"2020","Meat Cove","Inverness",,
"2020","Murphys Pond","Inverness",,
"2020","Pleasant Bay","Inverness",,
"2020","Port Hood","Inverness",,
"2020","Port Hood Island","Inverness",,
"2020","Other","Inverness","1870236.93","13401474.32"
"2020","Total for Inverness County","Inverness","6504419.47","55572301.33"
"2020","Halls Harbour","Kings","21253.10","269445.63"
"2020","Harbourville","Kings","79224.88","1517137.26"
"2020","Kingsport","Kings",,
"2020","Pereaux","Kings",,
"2020","Scots Bay","Kings",,
"2020","Other","Kings",,
"2020","Total for Kings County","Kings","408682.86","3203647.98"
"2020","Aspotogan","Lunenburg",,
"2020","Black Harbour","Lunenburg",,
"2020","Bayport","Lunenburg",,
"2020","Big Tancook Island","Lunenburg",,
"2020","Blandford","Lunenburg","179923.61","3082827.85"
"2020","Bush Island","Lunenburg","127397.66","2232630.96"
"2020","Chester Basin","Lunenburg",,
"2020","Feltzen South","Lunenburg",,
"2020","Fox Point","Lunenburg",,
"2020","Kings Bay","Lunenburg",,
"2020","Kraut Point","Lunenburg",,
"2020","Little Harbour","Lunenburg",,
"2020","Lunenburg (Battery Point)","Lunenburg",,
"2020","Lunenburg (Fishermens Wharf)","Lunenburg","40692.66","735631.48"
"2020","Lunenburg (Railway Wharf)","Lunenburg",,
"2020","Mahone Bay","Lunenburg",,
"2020","Mill Cove","Lunenburg",,
"2020","Northwest Cove","Lunenburg",,
"2020","Riverport","Lunenburg",,
"2020","Saw Pit","Lunenburg",,
"2020","Voglers Cove West","Lunenburg",,
"2020","Western Shore","Lunenburg",,
"2020","Other","Lunenburg","602825.87","10337206.53"
"2020","Total for Lunenburg County","Lunenburg","1747068.65","20928584.41"
"2020","Baileys Brook","Pictou",,
"2020","Big Island","Pictou",,
"2020","Cape John","Pictou",,
"2020","Caribou","Pictou","1952510.80","8260997.35"
"2020","Caribou Ferry","Pictou","1152570.75","1473483.53"
"2020","Chance Harbour","Pictou",,
"2020","Little Harbour","Pictou","62650.95","557084.90"
"2020","Merigomish","Pictou",,
"2020","Pictou Island","Pictou",,
"2020","Pictou Landing","Pictou",,
"2020","Skinners Cove","Pictou",,
"2020","Toney River","Pictou",,
"2020","Other","Pictou",,
"2020","Total for Pictou County","Pictou","4031442.71","17857104.81"
"2020","Brooklyn Fisherman's Wharf","Queens",,
"2020","East Side Port L'Hebert","Queens",,
"2020","Hunts Point","Queens",,
"2020","Moose Harbour","Queens",,
"2020","Port Medway","Queens","1155921.15","1531321.90"
"2020","Port Mouton","Queens","9168776.72","18646819.90"
"2020","South West Port Mouton","Queens",,
"2020","St. Catherines River","Queens",,
"2020","Volgers Cove","Queens",,
"2020","West Berlin","Queens",,
"2020","Other","Queens","860112.16","5118716"
"2020","Total for Queens County","Queens","11875049.16","30882683.47"
"2020","Arichat","Richmond","3303001.12","21717036.46"
"2020","Arrow Point","Richmond",,
"2020","Chapel Cove","Richmond",,
"2020","D'escousse","Richmond",,
"2020","Fourchu","Richmond",,
"2020","Janvrin Harbour","Richmond",,
"2020","L'Archeveque","Richmond",,
"2020","Little Harbour","Richmond",,
"2020","Poirierville","Richmond",,
"2020","River Bourgeois","Richmond",,
"2020","Other","Richmond",,
"2020","Total for Richmond County","Richmond","6733317.84","50926044.55"
"2020","Allendale","Shelburne",,
"2020","Bear Point","Shelburne","784116.78","3465631.02"
"2020","Cape Negro","Shelburne",,
"2020","Clark's Harbour","Shelburne","2810074.79","27996332.25"
"2020","Cripple Creek","Shelburne","223459.82","3567178.82"
"2020","Forbes Point","Shelburne",,
"2020","Gunning Cove","Shelburne","1257058.11","8946721.58"
"2020","Ingomar","Shelburne","999963.98","7253340.12"
"2020","Jones Harbour","Shelburne","113107.70","1996616.23"
"2020","Little Harbour","Shelburne","94179.76","1656907.70"
"2020","Lockeport","Shelburne","1057037.64","9992428.09"
"2020","Lower Jordan Bay","Shelburne","586077.61","2114247.91"
"2020","Lower Sandy Point","Shelburne","179113.97","2634604.84"
"2020","Lower Woods Harbour","Shelburne","1782202.87","109688264.57"
"2020","Lower Woods Harbour (Falls Point)","Shelburne","2147587.10","27451260.65"
"2020","Lower Woods Harbour (Forbes Point)","Shelburne",,
"2020","Newellton","Shelburne","849963.11","12241989.39"
"2020","Port La Tour","Shelburne","1576758.39","8785329.84"
"2020","Seal Point","Shelburne","143142.30","2467635.85"
"2020","Shag Harbour","Shelburne","1717200.88","8982939.61"
"2020","Shag Harbour (Prospect Point)","Shelburne",,
"2020","Shelburne","Shelburne","180201.67","3160917.49"
"2020","South Side","Shelburne","275259.11","4117724.13"
"2020","Stoney Island","Shelburne","196194.87","3329032.20"
"2020","Swims Point","Shelburne","125462.18","2223267.01"
"2020","Uper Port La Tour","Shelburne",,
"2020","West Green Harbour","Shelburne","83478.16","1440637.63"
"2020","West Head","Shelburne","1218919.90","16326970.14"
"2020","Other","Shelburne","1462323.03","9086466.92"
"2020","Total for Shelburne County","Shelburne","20475706.70","284112756.55"
"2020","Bay St. Lawrence","Victoria",,
"2020","Big Bras D'or","Victoria",,
"2020","Dingwall","Victoria","246448.32","2505320.03"
"2020","Englishtown","Victoria",,
"2020","Ingonish","Victoria",,
"2020","Ingonish Beach","Victoria",,
"2020","Ingonish Ferry","Victoria",,
"2020","Iona","Victoria",,
"2020","Little River","Victoria",,
"2020","Neils Harbour","Victoria",,
"2020","New Campbellton","Victoria",,
"2020","New Haven","Victoria",,
"2020","Nyanza","Victoria",,
"2020","Smelt Book","Victoria",,
"2020","White Point","Victoria",,
"2020","Wreck Cove","Victoria",,
"2020","Other","Victoria",,
"2020","Total for Victoria County","Victoria","1852261.34","16975701.20"
"2020","Abbotts Harbour","Yarmouth","528917.77","35522401.03"
"2020","Abrams River","Yarmouth",,
"2020","Camp Cove","Yarmouth","2472000.77","88739911.51"
"2020","Chebogue","Yarmouth",,
"2020","Chegoggin","Yarmouth",,
"2020","Chegoggin Point","Yarmouth","191343.25","3023542.65"
"2020","Dennis Point","Yarmouth","16537756.12","23506153.29"
"2020","Glenwood","Yarmouth",,
"2020","Hubbards Point","Yarmouth",,
"2020","Ledge Harbour","Yarmouth",,
"2020","Little River Harbour","Yarmouth","1283346.94","7793082.77"
"2020","Lower East Pubnico","Yarmouth","7537001.90","29753712.33"
"2020","Lower Wedgeport Tuna Wharf","Yarmouth",,
"2020","Morris Island","Yarmouth",,
"2020","Pinkneys Point","Yarmouth","1477694.32","8464181.63"
"2020","Plymouth","Yarmouth",,
"2020","Port Maitland","Yarmouth",,
"2020","Rocco Point","Yarmouth",,
"2020","Sandford","Yarmouth",,
"2020","Sluice Point","Yarmouth",,
"2020","Surettes Island","Yarmouth",,
"2020","Wedge Point","Yarmouth","3894793.54","14631098"
"2020","Yarmouth Bar","Yarmouth","2239788.59","26024021.13"
"2020","Other","Yarmouth","8885037","152662072.90"
"2020","Total for Yarmouth County","Yarmouth","52308030.67","401768264.44"
"2017","Anderson Cove","Annapolis",,
"2017","Battery Point","Annapolis",,
"2017","Delaps Cove","Annapolis",,
"2017","Hampton","Annapolis",,
"2017","Margaretsville","Annapolis",,
"2017","Parkers Cove","Annapolis","408328.96","6021035.83"
"2017","Port Lorne","Annapolis",,
"2017","Other","Annapolis","69437.49","3969363.29"
"2017","Total for Annapolis County","Annapolis","846568.70","14669332.46"
"2017","Arisaig","Antigonish",,
"2017","Aulds Cove","Antigonish",,
"2017","Ballantynes Cove","Antigonish",,
"2017","Barrios Beach","Antigonish",,
"2017","Bayfield","Antigonish",,
"2017","Cribbons Point","Antigonish",,
"2017","Havre Boucher","Antigonish",,
"2017","Livingstone","Antigonish",,
"2017","Other","Antigonish",,
"2017","Total for Antigonish County","Antigonish","1206800.60","15264861.59"
"2017","Alder Point","Cape Breton","568829.41","8316340.74"
"2017","Crane Cove","Cape Breton",,
"2017","Gabarus","Cape Breton","135933.99","2060986.82"
"2017","Glace Bay","Cape Breton","5818282.64","41157965.05"
"2017","Lingan","Cape Breton",,
"2017","Louisbourg","Cape Breton","4573959.09","52089837.84"
"2017","Main-A-Dieu","Cape Breton","663156.48","10423447.58"
"2017","Marion Bridge","Cape Breton",,
"2017","New Waterford","Cape Breton",,
"2017","North Sydney - Ballast Grounds","Cape Breton","716567.87","6899286.78"
"2017","North Sydney - Marina Breakwater","Cape Breton",,
"2017","Oyster Creek","Cape Breton",,
"2017","Point Aconi","Cape Breton",,
"2017","Port Morien","Cape Breton","541698.62","8534172.88"
"2017","South Bar","Cape Breton",,
"2017","Three Stick Cove","Cape Breton",,
"2017","Victoria Bridge","Cape Breton",,
"2017","Other","Cape Breton","1399120.46","9154967"
"2017","Total for Cape Breton County","Cape Breton","14791234.47","144579719.90"
"2017","Barrachois","Colchester",,
"2017","Five Islands","Colchester",,
"2017","Other","Colchester",,
"2017","Total for Colchester County","Colchester","223047.91","3674897.53"
"2017","Advocate Harbour","Cumberland",,
"2017","Apple River","Cumberland",,
"2017","Malagash","Cumberland",,
"2017","Northport","Cumberland",,
"2017","Pugwash","Cumberland",,
"2017","Wallace","Cumberland",,
"2017","Other","Cumberland","327125.66","638915.21"
"2017","Total for Cumberland County","Cumberland","778083.36","7137181.81"
"2017","Cape St. Marys","Digby","286842.42","4557734.18"
"2017","Centerville","Digby","55606.75","1010344.04"
"2017","Culloden","Digby",,
