member_id,checkin_ts
1,2026-07-20 06:45
1,2026-07-21 07:02
1,2026-07-22 06:58
1,2026-07-23 07:15
1,2026-07-24 06:40
1,2026-07-25 08:30
1,2026-07-26 08:12
1,2026-07-27 06:51
1,2026-07-28 07:07
1,2026-07-29 06:44
1,2026-07-30 07:20
1,2026-07-31 06:55
1,2026-08-01 09:05
1,2026-08-02 08:47
1,2026-08-15 07:10
1,2026-08-16 07:22
1,2026-08-17 06:49
1,2026-08-18 07:01
1,2026-08-19 06:53
2,2026-07-05 17:40
2,2026-07-06 18:05
2,2026-07-19 16:55
2,2026-08-10 17:30
2,2026-08-11 18:12
2,2026-08-12 07:15
2,2026-08-12 18:40
2,2026-08-13 17:58
2,2026-08-14 18:20
3,2026-06-30 10:02
4,2026-06-22 12:15
4,2026-06-23 12:30
4,2026-06-24 11:58
4,2026-06-25 12:44
4,2026-06-26 12:10
4,2026-07-01 13:05
4,2026-07-02 12:22
4,2026-07-03 12:51
4,2026-07-08 11:47
5,2026-07-26 09:10
5,2026-08-02 09:25
5,2026-08-09 08:55
5,2026-08-16 09:18
6,2026-07-10 19:02
6,2026-07-11 19:30
6,2026-07-12 18:44
6,2026-07-13 19:11
6,2026-08-17 19:05
6,2026-08-18 18:52
6,2026-08-19 19:21
