"license_number","license_type","establishment","street_address","city_town","province","postal_code","location"
"001044","Club","Birch Grove Fire Department","1424 Birch Grove RD","Birch Grove","NS","B1B 1L9","1424 Birch Grove RD
Birch Grove, NS B1B 1L9
(46.12129, -59.96043)"
"001045","Club","Bateston Athletic Pensioners and Seniors Club","1426 Mira Bay DR","Bateston","NS","B1C 2A8","1426 Mira Bay DR
Bateston, NS B1C 2A8
(46.00544, -59.91856)"
"001046","Club","Bombers A A Club","167 John ST","New Glasgow","NS","B2H 5K7","167 John ST
New Glasgow, NS B2H 5K7
(45.59241, -62.64391)"
"001047","Club","Bridgetown Curling Club","333 Granville ST","Bridgetown","NS","B0S 1C0","333 Granville ST
Bridgetown, NS B0S 1C0
(44.8414, -65.28728)"
"001049","Club","Brightwood Golf & Country Club","227 School ST","Dartmouth","NS","B3A 2Y5","227 School ST
Dartmouth, NS B3A 2Y5
(44.67529, -63.57219)"
"001053","Club","Chester Golf Club","222 Golf Course RD","Chester","NS","B0J 1J0","222 Golf Course RD
Chester, NS B0J 1J0
(44.53764, -64.22325)"
"001056","Club","Clare Knights of Columbus Club","288 P.F. Comeau RD","Comeauville","NS","B0W 1Z0","288 P.F. Comeau RD
Comeauville, NS B0W 1Z0
(44.2877, -66.11845)"
"001060","Club","New Waterford Columbus Club","3236 Plummer AV","New Waterford","NS","B1H 1X9","3236 Plummer AV
New Waterford, NS B1H 1X9
(46.24779, -60.08128)"
"001065","Club","Dartmouth Curling Club","35 Canal ST","Dartmouth","NS","B2Y 2W1","35 Canal ST
Dartmouth, NS B2Y 2W1
(44.66665, -63.56307)"
"001066","Club","Digby Volunteer Firemen's Society","163 First AV","Digby","NS","B0V 1A0","163 First AV
Digby, NS B0V 1A0
(44.6253, -65.75756)"
"001068","Club","Donkin Fire Department Men's Club","10 South ST","Donkin","NS","B1A 6S8","10 South ST
Donkin, NS B1A 6S8
(46.182, -59.87462)"
"001069","Club","Eastern Shore Wildlife Assoc.","200 Pool RD","Sheet Harbour","NS","B0J 3B0","200 Pool RD
Sheet Harbour, NS B0J 3B0
(44.92583, -62.50875)"
"001070","Club","Elks Club #226","42 North Provost ST","New Glasgow","NS","B2H 2N4","42 North Provost ST
New Glasgow, NS B2H 2N4
(45.58998, -62.64409)"
"001073","Club","Georges River Comm. Vol. Fire Dept.","1208 Georges River RD","Georges River","NS","B1Y 3Y6","1208 Georges River RD
Georges River, NS B1Y 3Y6
(46.20412, -60.32404)"
"001074","Club","Glooscap Curling Club","17 Crescent AV","Kentville","NS","B4N 3V9","17 Crescent AV
Kentville, NS B4N 3V9
(45.07627, -64.48893)"
"001077","Club","Halifax Curling Club","948 South Bland ST","Halifax","NS","B3H 2S5","948 South Bland ST
Halifax, NS B3H 2S5
(44.63435, -63.57213)"
"001081","Club","Le Club des Audacieux de Quinan","7036 Highway 308","Tusket","NS","B0W 3M0","7036 Highway 308
Tusket, NS B0W 3M0
(43.92097, -65.83677)"
"001082","Club","Lingan Golf & Country Club","1229 Grand Lake RD","Sydney","NS","B1M 1A2","1229 Grand Lake RD
Sydney, NS B1M 1A2
(46.17042, -60.09768)"
"001083","Club","Barrington Area Lions Club","2904 NS Trunk 3","Barrington Passage","NS","B0W 1E0","2904 NS Trunk 3
Barrington Passage, NS B0W 1E0
(43.55435, -65.60161)"
"001084","Club","Pubnico Area Lions Club","2562 HWY #3","Pubnico Head","NS","B0W 3S0","2562 HWY #3
Pubnico Head, NS B0W 3S0
(43.7065, -65.77645)"
"001085","Club","Truro Lions Club","1100 Prince ST","Truro","NS","B2N 1J1","1100 Prince ST
Truro, NS B2N 1J1
(45.36461, -63.26612)"
"001086","Club","Liverpool Fire Fighters Club","520 Main ST","Liverpool","NS","B0T 1K0","520 Main ST
Liverpool, NS B0T 1K0
(44.03701, -64.72274)"
"001087","Club","Lunenburg Curling Club","13 Green ST","Lunenburg","NS","B0J 2C0","13 Green ST
Lunenburg, NS B0J 2C0
(44.37631, -64.32004)"
"001088","Club","Margaree Firemen's Club","7811 Cabot Trail","Margaree Forks","NS","B0E 2A0","7811 Cabot Trail
Margaree Forks, NS B0E 2A0
(46.3291, -61.08926)"
"001089","Club","Mayflower Curling Club","82 Marketway LN","Timberlea","NS","B3T 1B4","82 Marketway LN
Timberlea, NS B3T 1B4
(44.6367, -63.71797)"
"001090","Club","Mic Mac Amateur Aquatic Club","192 Prince Albert RD","Dartmouth","NS","B2Y 3Z5","192 Prince Albert RD
Dartmouth, NS B2Y 3Z5
(44.67516, -63.55949)"
"001095","Club","Petpeswick Yacht Club","434 East Petpeswick RD","Musq. Hbr.","NS","B0J 2L0","434 East Petpeswick RD
Musq. Hbr., NS B0J 2L0
(44.76632, -63.14943)"
"001098","Club","Rocky Bay Irish Club","751 Rocky Bay RD","D'Escousse","NS","B0E 1K0","751 Rocky Bay RD
D'Escousse, NS B0E 1K0
(45.55442, -60.95284)"
"001099","Club","Row Street Athletic Club","9 Row ST","Glace Bay","NS","B1A 4T8","9 Row ST
Glace Bay, NS B1A 4T8
(46.21236, -59.99426)"
"001100","Club","R.C.A.F. Association #105 Wing","27 Havelock ST","Amherst","NS","B4H 4W1","27 Havelock ST
Amherst, NS B4H 4W1
(45.83379, -64.21031)"
"001101","Club","Royal Canadian Naval Association","3660 Commission ST","Halifax","NS","B3K 0A5","3660 Commission ST
Halifax, NS B3K 0A5
(44.66434, -63.61756)"
"001105","Club","Strait Area Community Curling Club","15 MacQuarrie DR","Port Hawkesbury","NS","B9A 3A3","15 MacQuarrie DR
Port Hawkesbury, NS B9A 3A3
(45.62046, -61.35682)"
"001111","Club","Westville Curling Club","1779 Foley ST","Westville","NS","B0K 1A0","1779 Foley ST
Westville, NS B0K 1A0
(45.56225, -62.71292)"
"001112","Club","Westville Firemen's Club","2020 Queen ST","Westville","NS","B0K 2A0","2020 Queen ST
Westville, NS B0K 2A0
(45.55379, -62.71187)"
"001113","Special Premises","Acadia University","15 University AV","Wolfville","NS","B4P 2R6","15 University AV
Wolfville, NS B4P 2R6
(45.08919, -64.36819)"
"001114","Special Premises","Baddeck Forks Golf & Recreation Club","12 Baddeck Forks Ext.","Baddeck Forks","NS","B0E 1B0","12 Baddeck Forks Ext.
Baddeck Forks, NS B0E 1B0
(46.18071, -60.76543)"
"001116","Special Premises","Dalhousie University","6136 University AV","Halifax","NS","B3H 4J2","6136 University AV
Halifax, NS B3H 4J2
(44.63711, -63.58928)"
"001117","Special Premises","Dartmouth Sportsplex Community Association","110 Wyse RD","Dartmouth","NS","B3A 1M2","110 Wyse RD
Dartmouth, NS B3A 1M2
(44.66893, -63.57559)"
"001118","Special Premises","DeCoste Entertainment Society","99 Water ST","Pictou","NS","B0K 1H0","99 Water ST
Pictou, NS B0K 1H0
(45.67572, -62.71274)"
"001121","Special Premises","Halifax Forum","2901 Windsor ST","Halifax","NS","B3K 5E5","2901 Windsor ST
Halifax, NS B3K 5E5
(44.65511, -63.60372)"
"001122","Special Premises","Kawartha Spirit","1751 Lower Water ST","Halifax","NS","B3J 3E4","1751 Lower Water ST
Halifax, NS B3J 3E4
(44.6484, -63.57184)"
"001124","Special Premises","Mountain Golf & Country Club","1195 Pictou RD","East Mountain","NS","B2N 5E8","1195 Pictou RD
East Mountain, NS B2N 5E8
(45.41619, -63.18627)"
"001125","Special Premises","Dalhousie University Truro","62 Cumming DR","Bible Hill","NS","B2N 5E3","62 Cumming DR
Bible Hill, NS B2N 5E3
(45.37187, -63.26413)"
"001128","Special Premises","Arborstone Enhanced Care","126 Purcell's Cove RD","Halifax","NS","B3P 1B5","126 Purcell's Cove RD
Halifax, NS B3P 1B5
(44.63234, -63.60931)"
"001132","Special Premises","Air Canada- In Flight","1 Bell BL","Enfield","NS","B2T 1K2","1 Bell BL
Enfield, NS B2T 1K2
(44.88673, -63.51547)"
"001133","Special Premises","Air Canada - Maple Leaf Lounge","1 Bell BL","Halifax","NS","B2T 1K2","1 Bell BL
Halifax, NS B2T 1K2
(44.88673, -63.51547)"
"001134","Special Premises","Martock II Ski & Recreation Lodge","370 Ski Martock RD","Windsor","NS","B0N 2T0","370 Ski Martock RD
Windsor, NS B0N 2T0
(44.93544, -64.17205)"
"001135","Special Premises","Halifax Convention Centre","1650 Argyle ST","Halifax","NS","B3J0E6","1650 Argyle ST
Halifax, NS B3J0E6
(44.64661, -63.57455)"
"001136","Special Premises","West Pubnico Golf & Country Club","238 Greenwood RD","West Pubnico","NS","B0W 3S0",
"001154","Eating Establishment","Moonlight Restaurant","210 Main ST","Antigonish","NS","B2G 2B9","210 Main ST
Antigonish, NS B2G 2B9
(45.62267, -61.98927)"
"001157","Eating Establishment","Sam's Restaurant (Stellarton)","255 Foord ST","Stellarton","NS","B0K 1S0","255 Foord ST
Stellarton, NS B0K 1S0
(45.55903, -62.65991)"
"001158","Lounge","Sam's Lounge (Stellarton)","255 Foord ST","Stellarton","NS","B0K 1S0","255 Foord ST
Stellarton, NS B0K 1S0
(45.55903, -62.65991)"
"001165","Club","RCL Br. 22, Bear River","1877 Clementsvale RD","Bear River","NS","B0S 1B0","1877 Clementsvale RD
Bear River, NS B0S 1B0
(44.5762, -65.63936)"
"001166","Club","RCL Br. 45, Parrsboro","56 Moore ST","Parrsboro","NS","B0M 1S0",
"001167","Club","Amherst Golf & Country Club","487 John Black RD","Amherst","NS","B4H 3Y7","487 John Black RD
Amherst, NS B4H 3Y7
(45.84185, -64.16438)"
"001171","Club","RAOB Eastern (Buffalo) Lodge #8686(Cow Bay)","625 Cow Bay RD","Eastern Passage","NS","B3G 1M4","625 Cow Bay RD
Eastern Passage, NS B3G 1M4
(44.61885, -63.46188)"
"001172","Club","Stellar Curling Club","234 Foord ST","Stellarton","NS","B0K 1S0","234 Foord ST
Stellarton, NS B0K 1S0
(45.5608, -62.65972)"
"001173","Special Premises","Springhill Centennial Golf Club","2770 Pleasant Valley","Springhill","NS","B0M 1X0",
"001174","Special Premises","Saint Mary's University","923 Robie ST","Halifax","NS","B3H 3C3","923 Robie ST
Halifax, NS B3H 3C3
(44.63079, -63.58144)"
"001193","Eating Establishment","Jade Palace","2 Fir ST","Springhill","NS","B0M 1X0","2 Fir ST
Springhill, NS B0M 1X0
(45.65069, -64.05975)"
"001198","Eating Establishment","Brownstone Cafe","244 Main ST","Antigonish","NS","B2G 2C2","244 Main ST
Antigonish, NS B2G 2C2
(45.6225, -61.99049)"
"001208","Special Premises","River Hills Golf & Country Club","310 Port Clyde RD","Clyde River","NS","B0W 1R0","310 Port Clyde RD
Clyde River, NS B0W 1R0
(43.61968, -65.47306)"
"001209","Special Premises","Dundee Resort & Golf Club ULC","2750 West Bay HY","West Bay","NS","B0E 3K0","2750 West Bay HY
West Bay, NS B0E 3K0
(45.70212, -61.08136)"
"001210","Special Premises","Scotiabank Centre","5284 Duke ST","Halifax","NS","B3J 2V9","5284 Duke ST
Halifax, NS B3J 2V9
(44.6487, -63.57702)"
"001211","Special Premises","Patient's Pub","5955 Veterans Memorial LN","Halifax","NS","B3H 2E1","5955 Veterans Memorial LN
Halifax, NS B3H 2E1
(44.64395, -63.58696)"
"001212","Special Premises","University of King's College","6350 Coburg RD","Halifax","NS","B3H 2A1","6350 Coburg RD
Halifax, NS B3H 2A1
(44.63786, -63.59502)"
"001214","Special Premises","Avon Valley Golf & Country Club","595 Back RD","Falmouth","NS","B0P 1L0","595 Back RD
Falmouth, NS B0P 1L0
(44.99211, -64.1925)"
"001217","Club","Christmas Island, Dist. #6, Vol. F. D","8539 Grand Narrows Hwy.","Grand Narrows","NS","B1T 1B1","8539 Grand Narrows Hwy.
Grand Narrows, NS B1T 1B1
(45.97009, -60.75148)"
"001218","Club","Chester Curling Club","190 Pig Loop RD","Chester","NS","B0J 1J0","190 Pig Loop RD
Chester, NS B0J 1J0
(44.5421, -64.2334)"
"001222","Club","Yarmouth Lions Club","87 Parade ST","Yarmouth","NS","B5A 3B3","87 Parade ST
Yarmouth, NS B5A 3B3
(43.83651, -66.10767)"
"001223","Club","Amherst Fire Fighters","62 Albion ST","Amherst","NS","B4H 4A1","62 Albion ST
Amherst, NS B4H 4A1
(45.82641, -64.20776)"
"001224","Club","Bluenose Golf Club","18 Cove RD","Lunenburg","NS","B0J 2C0","18 Cove RD
Lunenburg, NS B0J 2C0
(44.34251, -64.32009)"
"001227","Club","Shelburne & Area Lions Club","188 Elliot ST","Shelburne","NS","B0T 1W0","188 Elliot ST
Shelburne, NS B0T 1W0
(43.76563, -65.32493)"
"001228","Club","St. Michael's Polish Association","972 Victoria RD","Sydney","NS","B1N 1K7","972 Victoria RD
Sydney, NS B1N 1K7
(46.15916, -60.18654)"
"001230","Club","RCL Br. 156, Lakeside","231 Greenhead RD","Lakeside","NS","B3T 1B1","231 Greenhead RD
Lakeside, NS B3T 1B1
(44.63261, -63.70576)"
"001231","Club","RCL Br. 19, North Sydney","16 Archibald AV","North Sydney","NS","B2A 3M1","16 Archibald AV
North Sydney, NS B2A 3M1
(46.20968, -60.24951)"
"001232","Club","RCL Br. 97, Malagash","19 College RD","Malagash Mine","NS","B0K 1E0","19 College RD
Malagash Mine, NS B0K 1E0
(45.79036, -63.32587)"
"001233","Club","RCL Br. 126, Westmount","99 Midgley DR","Westmount","NS","B1R 1Z6","99 Midgley DR
Westmount, NS B1R 1Z6
(46.14295, -60.22034)"
"001236","Eating Establishment","Blarney Stone Restaurant","16339 Hwy #103","Hebbs Cross","NS","B4V 0Y8","16339 Hwy #103
Hebbs Cross, NS B4V 0Y8
(44.31248, -64.56362)"
"001255","Eating Establishment","Le Bistro By Liz","1333 South Park ST","Halifax","NS","B3J 2K9","1333 South Park ST
Halifax, NS B3J 2K9
(44.64049, -63.57887)"
"001267","Eating Establishment","Smitty's Family Restaurant (Dartmouth)","107 Main ST","Dartmouth","NS","B2X 1R6","107 Main ST
Dartmouth, NS B2X 1R6
(44.68201, -63.54059)"
"001272","Eating Establishment","Miller's Cafe","717 Reeves ST","Port Hawkesbury","NS","B9A 2S2","717 Reeves ST
Port Hawkesbury, NS B9A 2S2
(45.61451, -61.35077)"
"001288","Club","Club L'Estantue Community Centre","81 Club RD","Pinkney's Point","NS","B0W 1B0",
"001289","Club","Ardoise Community Recreation Centre","3 Ardoise School RD","Ardoise","NS","B0N 1L0","3 Ardoise School RD
Ardoise, NS B0N 1L0
(44.9595, -63.93343)"
"001290","Club","ANAF #373, Halifax","2409 Maynard ST","Halifax","NS","B3K 3V2","2409 Maynard ST
Halifax, NS B3K 3V2
(44.65373, -63.58895)"
"001291","Lounge","Miller's Tap & Grill","717 Reeves ST","Port Hawkesbury","NS","B9A 2S2","717 Reeves ST
Port Hawkesbury, NS B9A 2S2
(45.61451, -61.35077)"
"001293","Club","Armdale Yacht Club","75 Burgee Run","Halifax","NS","B3P 0C9","75 Burgee Run
Halifax, NS B3P 0C9
(44.63531, -63.61382)"
"001294","Club","Bedford Basin Yacht Club","73 Shore DR","Bedford","NS","B4A 2C7","73 Shore DR
Bedford, NS B4A 2C7
(44.72234, -63.66997)"
"001295","Club","Brooklyn Volunteer Fire Dept.","995 Route 215","Brooklyn","NS","B0N 2A0","995 Route 215
Brooklyn, NS B0N 2A0
(45.00411, -64.00716)"
"001296","Club","Bras d'Or Yacht Club","1 Jones ST","Baddeck","NS","B0E 1B0","1 Jones ST
Baddeck, NS B0E 1B0
(46.10074, -60.74828)"
"001298","Club","Dartmouth Yacht Club","697 Windmill RD","Dartmouth","NS","B3B 1B7","697 Windmill RD
Dartmouth, NS B3B 1B7
(44.70224, -63.60842)"
"001303","Club","Middleton Curling Club","6 King ST","Middleton","NS","B0S 1P0","6 King ST
Middleton, NS B0S 1P0
(44.94267, -65.0647)"
"001304","Club","Northside East Bay Volunteer Fire Department","310 Eskasoni RD","Northside East Bay","NS","B1J 1K8","310 Eskasoni RD
Northside East Bay, NS B1J 1K8
(46.02931, -60.37205)"
"001305","Club","Oakfield Golf & Country Club","6055 Highway #2","Enfield","NS","B2T 1C6","6055 Highway #2
Enfield, NS B2T 1C6
(44.9515, -63.52492)"
"001307","Club","St. Croix Community Club","18 Cemetery RD","St. Croix","NS","B0N 2E0","18 Cemetery RD
St. Croix, NS B0N 2E0
(44.9626, -64.03465)"
"001309","Club","Windsor Curling Club","174 Grey ST","Windsor","NS","B0N 2T0","174 Grey ST
Windsor, NS B0N 2T0
(44.99253, -64.13824)"
"001310","Club","RCL Br. 32, Cheticamp","15438 Main ST","Cheticamp","NS","B0E 1H0","15438 Main ST
Cheticamp, NS B0E 1H0
(46.63646, -61.00769)"
"001312","Club","RCL Br. 49, Mahone Bay","21 Pond ST","Mahone Bay","NS","B0J 2E0","21 Pond ST
Mahone Bay, NS B0J 2E0
(44.45121, -64.38859)"
"001314","Club","RCL Br. 16, Pictou","130 Veterans AV","Pictou","NS","B0K 1H0","130 Veterans AV
Pictou, NS B0K 1H0
(45.74274, -62.74727)"
"001315","Club","RCL Br. 60, Pugwash","10778 Durham ST","Pugwash",,"B0K 1L0","10778 Durham ST
Pugwash,  B0K 1L0
(45.8449, -63.64866)"
"001317","Club","RCL Br. 8, Sydney Mines","769 Main ST","Sydney Mines","NS","B1V 2Y4","769 Main ST
Sydney Mines, NS B1V 2Y4
(46.24221, -60.22954)"
"001318","Club","RCL Br. 64, Tatamagouche","80 Queen ST","Tatamagouche","NS","B0K 1V0","80 Queen ST
Tatamagouche, NS B0K 1V0
(45.72523, -63.30887)"
"001319","Club","RCL Br. 74, Wolfville","310 Main ST","Wolfville","NS","B4P 1C4","310 Main ST
Wolfville, NS B4P 1C4
(45.09185, -64.35735)"
"001320","Club","RCL Br. 67, Weymouth","24 Back ST","Weymouth","NS","B0W 3T0","24 Back ST
Weymouth, NS B0W 3T0
(44.41322, -65.9949)"
"001321","Club","RCL Br. 144, Western Shore","6582 Highway #3","Western Shore","NS","B0J 3M0","6582 Highway #3
Western Shore, NS B0J 3M0
(44.51974, -64.31204)"
"001325","Special Premises","Bicentennial Theatre & Cultural Centre","12390 Hwy 224","Mid. Musquodoboit","NS","B0N 1X0","12390 Hwy 224
Mid. Musquodoboit, NS B0N 1X0
(45.04425, -63.1506)"
"001327","Special Premises","Harbourview Lounge","2615 Northwood Terrace","Halifax","NS","B3K 3S5","2615 Northwood Terrace
Halifax, NS B3K 3S5
(44.65699, -63.59229)"
"001330","Special Premises","King's Theatre","209 St. George ST","Annapolis Royal","NS","B0S 1A0","209 St. George ST
Annapolis Royal, NS B0S 1A0
(44.74523, -65.51918)"
"001337","Club","Amherst Curling Club","45 Prince Arthur ST","Amherst","NS","B4H 3Y6","45 Prince Arthur ST
Amherst, NS B4H 3Y6
(45.83464, -64.20847)"
"001340","Special Premises","Mount Saint Vincent University","166 Bedford Highway","Halifax","NS","B3M 2J6","166 Bedford Highway
Halifax, NS B3M 2J6
(44.67216, -63.64459)"
"001361","Eating Establishment","Lakeside Grill Restaurant, Halifax","250 St. Margaret's Bay RD","Halifax","NS","B3N 1J4","250 St. Margaret's Bay RD
Halifax, NS B3N 1J4
(44.63657, -63.63374)"
"001362","Lounge","Lakeside Grill  Lounge, Halifax","250 St. Margaret's Bay RD","Halifax","NS","B3N 1J4","250 St. Margaret's Bay RD
Halifax, NS B3N 1J4
(44.63657, -63.63374)"
"001366","Eating Establishment","Revana Pizza Truro","281 Pictou RD","Bible Hill","NS","B2N 2S7","281 Pictou RD
Bible Hill, NS B2N 2S7
(45.38123, -63.24098)"
"001370","Eating Establishment","Sheet Harbour Motel & The Slippery Oyster Restaurant","22715 Highway 7","Sheet Harbour","NS","B0J 3B0","22715 Highway 7
Sheet Harbour, NS B0J 3B0
(44.91773, -62.52992)"
"001374","Eating Establishment","Blomidon Inn Dining Room","195 Main ST","Wolfville","NS","B4P 1C3","195 Main ST
Wolfville, NS B4P 1C3
(45.0915, -64.35042)"
"001387","Eating Establishment","Clairestone Inn Dining Room","2375 High RD","Arichat","NS","B0E 1A0",
"001400","Special Premises","Halifax Marriott Harbourfront Hotel","1919 Upper Water ST","Halifax","NS","B3J 3J5","1919 Upper Water ST
Halifax, NS B3J 3J5
(44.65076, -63.57408)"
"001425","Club","Melbourne Community Centre","741 Melbourne RD","Arcadia","NS","B0W 1B0","741 Melbourne RD
Arcadia, NS B0W 1B0
(43.78395, -66.05571)"
